NOM_AGENCE;NUM_AGENCE;NOM_DOSSIER;DAT_RECEPT;NUM_AGREMENT;LOT_NUM_REF;LOT_ADR_1;LOT_ADR_2;LOT_CP;LOT_VILLE;MNT_LOYER;LOT_TYP;LOT_MEUBLE;LOT_SUPERFICIE;PRES_DOS_FIC;NOM_REFERENT;DAT_DEB_TRAIT;DAT_COMPLET;DAT_INFO_AGENCE;FLG_COMPLET;JUST_MANQ;DAT_JUST_MANQ;RESULT_EFF;DOSS_PHASE;DOSS_STATUT;FLG_GARANTI;NUM_CONTRAT;CAUSE_REFUS;DOSS_COMMENT;DAT_SIGN_BAIL;DAT_EFF_BAIL;NB_LOC
Joly, Lemaire and Blanchard;+33 769253331;Lemaire;01/07/2019 14:38:25;AGR_2019070114O1;C006982P_d0acaa2a-89d4-4613-a1d1-d1f5f0c61aa2;6868 Meyer Lepic;;50025;Morinfort;446.03;t3;ABS;70043;NON;Noel;01/07/2019 14:48:28;02/07/2019 10:56:35;03/07/2019 11:43:18;OUI;;;;Réponse Agence;EN COURS;ATTENTE RETOUR AGENCE;0797466800;;Aperiam reiciendis blanditiis quis eveniet voluptatem eum voluptates voluptatem. Ea optio aut odio eum nam et nemo et. Iure nobis et. Ducimus consectetur et tenetur aliquam molestiae numquam enim voluptatibus iusto.;;01/07/2019;1
Paris, Lemoine and Le gall;+33 520967897;Louis;02/07/2019 14:48:50;AGR_20190702155E;120603Q_89ed9c60-696f-4b8f-ac48-07045e90658e;40088 Mélissa de Provence;;83341;Da silvamouth;862.47;t3;ABS;19680;OUI;Meunier;02/07/2019 14:55:08;02/07/2019 15:22:55;03/07/2019 16:49:02;OUI;;;;Terminé;REFUSE;NON;0759396217;TAUX EFF;Nam porro quibusdam ea repellat. Dolor unde reprehenderit sequi provident quia. Possimus quis fugit aut maiores facilis sit. Quisquam eligendi voluptate excepturi neque ut dolorem ea odio.;;01/07/2019;1
Martinez - Perrot;0617303615;Moulin;02/07/2019 15:00:58;AGR_2019070215PM;undefined_8a951392-d37f-4ff1-b6ee-d25461e6c3af;9119 Clara de la Ferronnerie;;94561;South Zoeshire;312.57;t1;ABS;47954;OUI;Masson;02/07/2019 15:05:35;02/07/2019 16:26:51;03/07/2019 16:53:02;OUI;;;;Terminé;REFUSE;NON;0571217772;TAUX EFF;Aspernatur et est. Veniam iste odit sint magni earum est cupiditate. Nemo accusamus odit harum laborum voluptatum. Voluptatibus et omnis laboriosam qui. Magni nostrum eaque dolores voluptas quae. Ratione non ipsum omnis nobis quod reprehenderit cumque veniam quis.;;26/08/2019;1
Lemaire, Berger and Prevost;+33 318529100;Carpentier;03/07/2019 10:28:33;AGR_201907030T3L;902117_5747a033-fac3-41b8-85a7-50353ec147cd;887 Lena de la Pompe;;66689;Port Noémieside;553.46;f1;ABS;50225;OUI;Picard;03/07/2019 10:40:12;03/07/2019 12:18:56;03/07/2019 16:56:27;OUI;;;;Terminé;REFUSE;NON;0338510548;TAUX EFF;Fugiat quia iusto fuga dolorum sapiente nam. Voluptatem asperiores ipsum et ea non et nulla facere corrupti. Eligendi vel excepturi fugit quia eum illum quis magnam. Laudantium sequi itaque maxime. Dolore dolores alias aliquid quis. Autem est hic quis minima voluptas voluptas velit.;;01/07/2019;2
Pons SCOP;+33 174250034;Martinez;02/07/2019 14:37:46;AGR_2019070214MY;20638_c91c6eb1-7bbe-4d3e-b76d-775a035a4a69;31655 Nicolas du Bac;;36526;New Maeva;719.66;t2;ABS;83196;OUI;Denis;02/07/2019 14:45:57;02/07/2019 15:02:23;03/07/2019 16:59:04;OUI;;;;Terminé;REFUSE;NON;+33 110681643;TAUX EFF;Dicta quae et sed veritatis vel impedit quis totam. Et qui nobis qui error dolore rerum rerum commodi. Delectus voluptas tempora. Perferendis aut eaque non dolor expedita qui voluptatibus mollitia.;;01/07/2019;1
Bourgeois - Lemoine;0167800045;Fabre;02/07/2019 16:40:54;AGR_201907021AC6;111071E_804797cb-49bb-45ea-8b38-0be33533a2d4;57443 Nathan de Tilsitt;;03823;East Sacha;979.49;t3;ABS;33022;OUI;Pierre;02/07/2019 16:53:04;02/07/2019 18:22:04;03/07/2019 17:00:22;OUI;;;;Réponse Agence;EN COURS;ATTENTE RETOUR AGENCE;0437645866;;Deleniti voluptas ad nulla voluptatem. Beatae omnis rerum illo neque fugit totam qui vitae. Architecto et dolorem dolor.;;01/07/2019;2
Vincent - Rolland;0349168575;Poirier;26/06/2019 11:05:03;AGR_201906260USF;025059N_1b0da639-8c7c-46b0-8631-143ee92b83a2;80861 Guyot de Caumartin;;04825;Lake Maeva;153.96;f2;ABS;8358;OUI;Perez;26/06/2019 11:16:33;26/06/2019 11:35:14;03/07/2019 17:01:58;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 717752110;;Fugit id ut debitis. Magni et et ipsum doloremque. Quibusdam ut atque ea eos aspernatur eos. Accusamus repellendus doloribus.;;;1
Morin SARL;0163631305;Bernard;03/07/2019 01:31:46;AGR_20190703048Y;44290_da169e0c-0e93-4855-b2c4-688435693284;5932 Raphaël des Francs-Bourgeois;;31603;Arthurchester;186.71;t3;ABS;9546;OUI;Lefevre;03/07/2019 01:36:44;03/07/2019 01:47:09;03/07/2019 17:07:11;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0458828838;;Voluptatem voluptatibus in est quam. Recusandae nam quia est porro possimus doloremque consequatur doloribus. Officia provident ut aut et quae. Omnis voluptas est corrupti dolore vel aperiam quia delectus nostrum. Ad placeat aut ut quas.;;14/07/2019;1
Henry SEM;0211325858;Lefebvre;03/07/2019 13:26:25;AGR_2019070311C1;20638_3ac6a4c2-2aad-4893-8465-ca55c8076580;9361 Justine Saint-Dominique;;23504;West Kylian;276.37;t3;ABS;8263;OUI;Thomas;03/07/2019 14:27:05;03/07/2019 14:42:10;03/07/2019 17:13:00;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0701677659;;Molestiae ex aliquid ut soluta quo officiis aut accusantium aliquid. Sunt est nulla cum eligendi repellat perspiciatis. Eaque et minima minus. Et a aut ullam non harum esse aut cum.;;15/08/2019;2
Arnaud - Robert;0558721625;Marchand;02/07/2019 12:38:59;AGR_201907020Z4Z;17246_37cadb4d-a43e-4171-b9b6-efa449ae83f6;032 Dufour d'Argenteuil;;49406;West Chloébury;370.25;t1;ABS;41692;OUI;Andre;02/07/2019 12:44:37;02/07/2019 13:55:15;03/07/2019 17:21:53;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0646496211;;Ipsam distinctio enim illum et laudantium quaerat maxime ratione est. Similique recusandae ad occaecati reiciendis consectetur maxime error fugit provident. Et iusto doloremque voluptates velit quaerat ullam nisi. Rem dolorem labore natus qui facere provident. Cupiditate aut qui sunt consequuntur quia qui est sit. Animi quasi delectus qui dolores provident sed culpa itaque.;;12/07/2019;2
